instruction,cqa family
MINPD,FM_MIN
PMINSD,FM_MIN
VMINPD,FM_MIN
VPMINUD,FM_MIN
MASKMOVDQU,FM_MMOV
MASKMOVQ,FM_MMOV
VMASKMOVPD,FM_MMOV
VMASKMOVPS,FM_MMOV
VPMASKMOVD,FM_MMOV
VPMASKMOVQ,FM_MMOV
VMASKMOVDQU,FM_MMOV
FSTP,FM_MOV
KMOVB,FM_MOV
KMOVQ,FM_MOV
KMOVW,FM_MOV
LODS,FM_MOV
MOV,FM_MOV
MOVAPD,FM_MOV
MOVAPS,FM_MOV
MOVD,FM_MOV
MOVDQ2Q,FM_MOV
MOVDQA,FM_MOV
MOVDQU,FM_MOV
MOVHLPS,FM_MOV
MOVHPD,FM_MOV
MOVHPS,FM_MOV
MOVLHPS,FM_MOV
MOVLPD,FM_MOV
MOVLPS,FM_MOV
MOVNTDQ,FM_MOV
MOVNTDQA,FM_MOV
MOVNTI,FM_MOV
MOVNTPD,FM_MOV
MOVNTPS,FM_MOV
MOVNTQ,FM_MOV
MOVQ,FM_MOV
MOVQ2DQ,FM_MOV
MOVSD,FM_MOV
MOVSHDUP,FM_MOV
MOVSLDUP,FM_MOV
MOVSS,FM_MOV
MOVSX,FM_MOV
MOVSXD,FM_MOV
MOVUPD,FM_MOV
MOVUPS,FM_MOV
MOVZX,FM_MOV
PMOVSXBD,FM_MOV
PMOVSXBQ,FM_MOV
PMOVSXBW,FM_MOV
PMOVSXDQ,FM_MOV
PMOVSXWQ,FM_MOV
PMOVZXBD,FM_MOV
PMOVZXBQ,FM_MOV
PMOVZXBW,FM_MOV
PMOVZXDQ,FM_MOV
PMOVZXWD,FM_MOV
PMOVZXWQ,FM_MOV
REP_LODS,FM_MOV
REP_STOS,FM_MOV
STOS,FM_MOV
VLDDQU,FM_MOV
VMOVAPD,FM_MOV
VMOVAPS,FM_MOV
VMOVD,FM_MOV
VMOVDDUP,FM_MOV
VMOVDQA,FM_MOV
VMOVDQA64,FM_MOV
VMOVDQU,FM_MOV
VMOVDQU16,FM_MOV
VMOVDQU32,FM_MOV
VMOVDQU64,FM_MOV
VMOVDQU8,FM_MOV
VMOVHLPS,FM_MOV
VMOVHPD,FM_MOV
VMOVHPS,FM_MOV
VMOVLPD,FM_MOV
VMOVLPS,FM_MOV
VMOVNTDQ,FM_MOV
VMOVNTDQA,FM_MOV
VMOVNTPD,FM_MOV
VMOVNTPS,FM_MOV
VMOVQ,FM_MOV
VMOVSHDUP,FM_MOV
VMOVSLDUP,FM_MOV
VMOVSS,FM_MOV
VMOVUPD,FM_MOV
VMOVUPS,FM_MOV
